Infinitive,расписа́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,расписа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расписа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,распишу́сь
2nd Sing,распи́шешься
3rd Sing,распи́шется
1st Pl,распи́шемся
2nd Pl,распи́шетесь
3rd Pl,распи́шутся
Past M,расписа́лся
Past F,расписа́лась
Past N,расписа́лось
Past PL,расписа́лись
Imp S,распиши́сь
Imp PL,распиши́тесь
