Infinitive,разложи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разложи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разло́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разложи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разложи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разложу́
2nd Sing,разло́жишь
3rd Sing,разло́жит
1st Pl,разло́жим
2nd Pl,разло́жите
3rd Pl,разло́жат
Past M,разложи́л
Past F,разложи́ла
Past N,разложи́ло
Past PL,разложи́ли
Imp S,разложи́
Imp PL,разложи́те
