Infinitive,расстро́иться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,расстро́ившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расстро́ившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,расстро́юсь
2nd Sing,расстро́ишься
3rd Sing,расстро́ится
1st Pl,расстро́имся
2nd Pl,расстро́итесь
3rd Pl,расстро́ятся
Past M,расстро́ился
Past F,расстро́илась
Past N,расстро́илось
Past PL,расстро́ились
Imp S,расстро́йся
Imp PL,расстро́йтесь
