Infinitive,расширя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,расширя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,расширя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расширя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,расширя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расширя́юсь
2nd Sing,расширя́ешься
3rd Sing,расширя́ется
1st Pl,расширя́емся
2nd Pl,расширя́етесь
3rd Pl,расширя́ются
Past M,расширя́лся
Past F,расширя́лась
Past N,расширя́лось
Past PL,расширя́лись
Imp S,расширя́йся
Imp PL,расширя́йтесь
