Infinitive,расхохота́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,расхохота́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расхохота́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,расхохочу́сь
2nd Sing,расхохо́чешься
3rd Sing,расхохо́чется
1st Pl,расхохо́чемся
2nd Pl,расхохо́четесь
3rd Pl,расхохо́чутся
Past M,расхохота́лся
Past F,расхохота́лась
Past N,расхохота́лось
Past PL,расхохота́лись
Imp S,расхохочи́сь
Imp PL,расхохочи́тесь
