Infinitive,рассуди́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,рассуди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассу́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рассуди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,рассуди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,рассужу́
2nd Sing,рассу́дишь
3rd Sing,рассу́дит
1st Pl,рассу́дим
2nd Pl,рассу́дите
3rd Pl,рассу́дят
Past M,рассуди́л
Past F,рассуди́ла
Past N,рассуди́ло
Past PL,рассуди́ли
Imp S,рассуди́
Imp PL,рассуди́те
