Infinitive,разгорячи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разгорячи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разгорячи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разгорячу́сь
2nd Sing,разгорячи́шься
3rd Sing,разгорячи́тся
1st Pl,разгорячи́мся
2nd Pl,разгорячи́тесь
3rd Pl,разгоряча́тся
Past M,разгорячи́лся
Past F,разгорячи́лась
Past N,разгорячи́лось
Past PL,разгорячи́лись
Imp S,разгорячи́сь
Imp PL,разгорячи́тесь
