Infinitive,разру́шиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разру́шившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разру́шившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разру́шусь
2nd Sing,разру́шишься
3rd Sing,разру́шится
1st Pl,разру́шимся
2nd Pl,разру́шитесь
3rd Pl,разру́шатся
Past M,разру́шился
Past F,разру́шилась
Past N,разру́шилось
Past PL,разру́шились
Imp S,разру́шься
Imp PL,разру́шьтесь
