Infinitive,развле́чься
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,развлёкшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,развлёкшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,развлеку́сь
2nd Sing,развлечёшься
3rd Sing,развлечётся
1st Pl,развлечёмся
2nd Pl,развлечётесь
3rd Pl,развлеку́тся
Past M,развлёкся
Past F,развлекла́сь
Past N,развлекло́сь
Past PL,развлекли́сь
Imp S,развлеки́сь
Imp PL,развлеки́тесь
