Infinitive,рассыла́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,рассыла́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассыла́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рассыла́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,рассыла́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,рассыла́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,рассыла́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,рассыла́ю
2nd Sing,рассыла́ешь
3rd Sing,рассыла́ет
1st Pl,рассыла́ем
2nd Pl,рассыла́ете
3rd Pl,рассыла́ют
Past M,рассыла́л
Past F,рассыла́ла
Past N,рассыла́ло
Past PL,рассыла́ли
Imp S,рассыла́й
Imp PL,рассыла́йте
