Infinitive,раска́лывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раска́лывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,раска́лывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раска́лываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,раска́лывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,раска́лывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,раска́лывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,раска́лываю
2nd Sing,раска́лываешь
3rd Sing,раска́лывает
1st Pl,раска́лываем
2nd Pl,раска́лываете
3rd Pl,раска́лывают
Past M,раска́лывал
Past F,раска́лывала
Past N,раска́лывало
Past PL,раска́лывали
Imp S,раска́лывай
Imp PL,раска́лывайте
