Infinitive,расползти́сь
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,распо́лзшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распо́лзшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,расползу́сь
2nd Sing,расползёшься
3rd Sing,расползётся
1st Pl,расползёмся
2nd Pl,расползётесь
3rd Pl,расползу́тся
Past M,распо́лзся
Past F,расползла́сь
Past N,расползло́сь
Past PL,расползли́сь
Imp S,расползи́сь
Imp PL,расползи́тесь
