Infinitive,разменя́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разменя́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разме́нянный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разменя́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разменя́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разменя́ю
2nd Sing,разменя́ешь
3rd Sing,разменя́ет
1st Pl,разменя́ем
2nd Pl,разменя́ете
3rd Pl,разменя́ют
Past M,разменя́л
Past F,разменя́ла
Past N,разменя́ло
Past PL,разменя́ли
Imp S,разменя́й
Imp PL,разменя́йте
