Infinitive,разговори́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разговори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разговорённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разговори́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разговори́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разговорю́
2nd Sing,разговори́шь
3rd Sing,разговори́т
1st Pl,разговори́м
2nd Pl,разговори́те
3rd Pl,разговоря́т
Past M,разговори́л
Past F,разговори́ла
Past N,разговори́ло
Past PL,разговори́ли
Imp S,разговори́
Imp PL,разговори́те
