Infinitive,растрепа́ть
Zaliznyak Class,6c(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,растрепа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,растрёпанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,растрепа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,растрепа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,растреплю́
2nd Sing,растре́плешь
3rd Sing,растре́плет
1st Pl,растре́плем
2nd Pl,растре́плете
3rd Pl,растре́плют
Past M,растрепа́л
Past F,растрепа́ла
Past N,растрепа́ло
Past PL,растрепа́ли
Imp S,растрепли́
Imp PL,растрепли́те
