Infinitive,распакова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,распакова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распако́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распакова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,распакова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распаку́ю
2nd Sing,распаку́ешь
3rd Sing,распаку́ет
1st Pl,распаку́ем
2nd Pl,распаку́ете
3rd Pl,распаку́ют
Past M,распакова́л
Past F,распакова́ла
Past N,распакова́ло
Past PL,распакова́ли
Imp S,распаку́й
Imp PL,распаку́йте
