Infinitive,различи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,различи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,различённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,различи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,различи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,различу́
2nd Sing,различи́шь
3rd Sing,различи́т
1st Pl,различи́м
2nd Pl,различи́те
3rd Pl,различа́т
Past M,различи́л
Past F,различи́ла
Past N,различи́ло
Past PL,различи́ли
Imp S,различи́
Imp PL,различи́те
