Infinitive,рассчита́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,рассчита́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассчи́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рассчита́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,рассчита́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,рассчита́ю
2nd Sing,рассчита́ешь
3rd Sing,рассчита́ет
1st Pl,рассчита́ем
2nd Pl,рассчита́ете
3rd Pl,рассчита́ют
Past M,рассчита́л
Past F,рассчита́ла
Past N,рассчита́ло
Past PL,рассчита́ли
Imp S,рассчита́й
Imp PL,рассчита́йте
