Infinitive,размножа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,размножа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,размножа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,размножа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,размножа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,размножа́юсь
2nd Sing,размножа́ешься
3rd Sing,размножа́ется
1st Pl,размножа́емся
2nd Pl,размножа́етесь
3rd Pl,размножа́ются
Past M,размножа́лся
Past F,размножа́лась
Past N,размножа́лось
Past PL,размножа́лись
Imp S,размножа́йся
Imp PL,размножа́йтесь
