Infinitive,расступа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,расступа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,расступа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расступа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,расступа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расступа́юсь
2nd Sing,расступа́ешься
3rd Sing,расступа́ется
1st Pl,расступа́емся
2nd Pl,расступа́етесь
3rd Pl,расступа́ются
Past M,расступа́лся
Past F,расступа́лась
Past N,расступа́лось
Past PL,расступа́лись
Imp S,расступа́йся
Imp PL,расступа́йтесь
