Infinitive,разба́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разба́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разба́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разба́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разба́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разба́влю
2nd Sing,разба́вишь
3rd Sing,разба́вит
1st Pl,разба́вим
2nd Pl,разба́вите
3rd Pl,разба́вят
Past M,разба́вил
Past F,разба́вила
Past N,разба́вило
Past PL,разба́вили
Imp S,разба́вь
Imp PL,разба́вьте
