Infinitive,разлучи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разлучи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разлучённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разлучи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разлучи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разлучу́
2nd Sing,разлучи́шь
3rd Sing,разлучи́т
1st Pl,разлучи́м
2nd Pl,разлучи́те
3rd Pl,разлуча́т
Past M,разлучи́л
Past F,разлучи́ла
Past N,разлучи́ло
Past PL,разлучи́ли
Imp S,разлучи́
Imp PL,разлучи́те
