Infinitive,расста́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расста́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расста́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расста́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,расста́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расста́влю
2nd Sing,расста́вишь
3rd Sing,расста́вит
1st Pl,расста́вим
2nd Pl,расста́вите
3rd Pl,расста́вят
Past M,расста́вил
Past F,расста́вила
Past N,расста́вило
Past PL,расста́вили
Imp S,расста́вь
Imp PL,расста́вьте
