Infinitive,рассерди́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,рассерди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассерди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,рассержу́сь
2nd Sing,рассе́рдишься
3rd Sing,рассе́рдится
1st Pl,рассе́рдимся
2nd Pl,рассе́рдитесь
3rd Pl,рассе́рдятся
Past M,рассерди́лся
Past F,рассерди́лась
Past N,рассерди́лось
Past PL,рассерди́лись
Imp S,рассерди́сь
Imp PL,рассерди́тесь
