Infinitive,разгреба́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разгреба́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разгреба́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разгреба́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разгреба́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,разгреба́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,разгреба́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,разгреба́ю
2nd Sing,разгреба́ешь
3rd Sing,разгреба́ет
1st Pl,разгреба́ем
2nd Pl,разгреба́ете
3rd Pl,разгреба́ют
Past M,разгреба́л
Past F,разгреба́ла
Past N,разгреба́ло
Past PL,разгреба́ли
Imp S,разгреба́й
Imp PL,разгреба́йте
