Infinitive,распили́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,распили́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распи́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распили́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,распили́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распилю́
2nd Sing,распи́лишь
3rd Sing,распи́лит
1st Pl,распи́лим
2nd Pl,распи́лите
3rd Pl,распи́лят
Past M,распили́л
Past F,распили́ла
Past N,распили́ло
Past PL,распили́ли
Imp S,распили́
Imp PL,распили́те
