Infinitive,расколо́ть
Zaliznyak Class,10c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расколо́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раско́лотый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расколо́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,расколо́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расколю́
2nd Sing,раско́лешь
3rd Sing,раско́лет
1st Pl,раско́лем
2nd Pl,раско́лете
3rd Pl,раско́лют
Past M,расколо́л
Past F,расколо́ла
Past N,расколо́ло
Past PL,расколо́ли
Imp S,расколи́
Imp PL,расколи́те
