Infinitive,разы́грывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разы́грывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разы́грывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разы́грываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разы́грывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,разы́грывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,разы́грывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,разы́грываю
2nd Sing,разы́грываешь
3rd Sing,разы́грывает
1st Pl,разы́грываем
2nd Pl,разы́грываете
3rd Pl,разы́грывают
Past M,разы́грывал
Past F,разы́грывала
Past N,разы́грывало
Past PL,разы́грывали
Imp S,разы́грывай
Imp PL,разы́грывайте
