Infinitive,рассла́биться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,рассла́бившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассла́бившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,рассла́блюсь
2nd Sing,рассла́бишься
3rd Sing,рассла́бится
1st Pl,рассла́бимся
2nd Pl,рассла́битесь
3rd Pl,рассла́бятся
Past M,рассла́бился
Past F,рассла́билась
Past N,рассла́билось
Past PL,рассла́бились
Imp S,рассла́бься
Imp PL,рассла́бьтесь
