Infinitive,развали́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,развали́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разва́ленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,развали́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,развали́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,развалю́
2nd Sing,разва́лишь
3rd Sing,разва́лит
1st Pl,разва́лим
2nd Pl,разва́лите
3rd Pl,разва́лят
Past M,развали́л
Past F,развали́ла
Past N,развали́ло
Past PL,развали́ли
Imp S,развали́
Imp PL,развали́те
