Infinitive,раздражи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раздражи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раздражённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раздражи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,раздражи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раздражу́
2nd Sing,раздражи́шь
3rd Sing,раздражи́т
1st Pl,раздражи́м
2nd Pl,раздражи́те
3rd Pl,раздража́т
Past M,раздражи́л
Past F,раздражи́ла
Past N,раздражи́ло
Past PL,раздражи́ли
Imp S,раздражи́
Imp PL,раздражи́те
