Infinitive,расплати́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,расплати́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расплати́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,расплачу́сь
2nd Sing,распла́тишься
3rd Sing,распла́тится
1st Pl,распла́тимся
2nd Pl,распла́титесь
3rd Pl,распла́тятся
Past M,расплати́лся
Past F,расплати́лась
Past N,расплати́лось
Past PL,расплати́лись
Imp S,расплати́сь
Imp PL,расплати́тесь
