Infinitive,расплю́щить
Zaliznyak Class,4a[③]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расплю́щивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расплю́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расплю́щив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,расплю́щивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расплю́щу
2nd Sing,расплю́щишь
3rd Sing,расплю́щит
1st Pl,расплю́щим
2nd Pl,расплю́щите
3rd Pl,расплю́щат
Past M,расплю́щил
Past F,расплю́щила
Past N,расплю́щило
Past PL,расплю́щили
Imp S,расплю́щи
Imp PL,расплю́щьте
