Infinitive,рассе́ять
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,рассе́явший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассе́янный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рассе́яв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,рассе́явши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,рассе́ю
2nd Sing,рассе́ешь
3rd Sing,рассе́ет
1st Pl,рассе́ем
2nd Pl,рассе́ете
3rd Pl,рассе́ют
Past M,рассе́ял
Past F,рассе́яла
Past N,рассе́яло
Past PL,рассе́яли
Imp S,рассе́й
Imp PL,рассе́йте
