Infinitive,раздоса́довать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,раздоса́довавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,раздоса́дованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раздоса́довав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,раздоса́довавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раздоса́дую
2nd Sing,раздоса́дуешь
3rd Sing,раздоса́дует
1st Pl,раздоса́дуем
2nd Pl,раздоса́дуете
3rd Pl,раздоса́дуют
Past M,раздоса́довал
Past F,раздоса́довала
Past N,раздоса́довало
Past PL,раздоса́довали
Imp S,раздоса́дуй
Imp PL,раздоса́дуйте
