Infinitive,расска́зывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расска́зывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,расска́зывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расска́зываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,расска́зывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,расска́зывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,расска́зывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,расска́зываю
2nd Sing,расска́зываешь
3rd Sing,расска́зывает
1st Pl,расска́зываем
2nd Pl,расска́зываете
3rd Pl,расска́зывают
Past M,расска́зывал
Past F,расска́зывала
Past N,расска́зывало
Past PL,расска́зывали
Imp S,расска́зывай
Imp PL,расска́зывайте
