Infinitive,рассе́яться
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,рассе́явшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассе́явшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,рассе́юсь
2nd Sing,рассе́ешься
3rd Sing,рассе́ется
1st Pl,рассе́емся
2nd Pl,рассе́етесь
3rd Pl,рассе́ются
Past M,рассе́ялся
Past F,рассе́ялась
Past N,рассе́ялось
Past PL,рассе́ялись
Imp S,рассе́йся
Imp PL,рассе́йтесь
