Infinitive,рассекре́тить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,рассекре́тивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассекре́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рассекре́тив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,рассекре́тивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,рассекре́чу
2nd Sing,рассекре́тишь
3rd Sing,рассекре́тит
1st Pl,рассекре́тим
2nd Pl,рассекре́тите
3rd Pl,рассекре́тят
Past M,рассекре́тил
Past F,рассекре́тила
Past N,рассекре́тило
Past PL,рассекре́тили
Imp S,рассекре́ть
Imp PL,рассекре́тьте
