Infinitive,разветви́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разветви́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разветвлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разветви́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разветви́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разветвлю́
2nd Sing,разветви́шь
3rd Sing,разветви́т
1st Pl,разветви́м
2nd Pl,разветви́те
3rd Pl,разветвя́т
Past M,разветви́л
Past F,разветви́ла
Past N,разветви́ло
Past PL,разветви́ли
Imp S,разветви́
Imp PL,разветви́те
