Infinitive,разлете́ться
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разлете́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разлете́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разлечу́сь
2nd Sing,разлети́шься
3rd Sing,разлети́тся
1st Pl,разлети́мся
2nd Pl,разлети́тесь
3rd Pl,разлетя́тся
Past M,разлете́лся
Past F,разлете́лась
Past N,разлете́лось
Past PL,разлете́лись
Imp S,разлети́сь
Imp PL,разлети́тесь
