Infinitive,размы́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,размы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,размы́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,размы́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,размы́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,размо́ю
2nd Sing,размо́ешь
3rd Sing,размо́ет
1st Pl,размо́ем
2nd Pl,размо́ете
3rd Pl,размо́ют
Past M,размы́л
Past F,размы́ла
Past N,размы́ло
Past PL,размы́ли
Imp S,размо́й
Imp PL,размо́йте
