Infinitive,рассла́бить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,рассла́бивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассла́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рассла́бив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,рассла́бивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,рассла́блю
2nd Sing,рассла́бишь
3rd Sing,рассла́бит
1st Pl,рассла́бим
2nd Pl,рассла́бите
3rd Pl,рассла́бят
Past M,рассла́бил
Past F,рассла́била
Past N,рассла́било
Past PL,рассла́били
Imp S,рассла́бь
Imp PL,рассла́бьте
