Infinitive,рассчи́тываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,рассчи́тывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассчи́тывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рассчи́тываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,рассчи́тывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,рассчи́тываюсь
2nd Sing,рассчи́тываешься
3rd Sing,рассчи́тывается
1st Pl,рассчи́тываемся
2nd Pl,рассчи́тываетесь
3rd Pl,рассчи́тываются
Past M,рассчи́тывался
Past F,рассчи́тывалась
Past N,рассчи́тывалось
Past PL,рассчи́тывались
Imp S,рассчи́тывайся
Imp PL,рассчи́тывайтесь
