Infinitive,разъезжа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разъезжа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разъезжа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разъезжа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разъезжа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разъезжа́юсь
2nd Sing,разъезжа́ешься
3rd Sing,разъезжа́ется
1st Pl,разъезжа́емся
2nd Pl,разъезжа́етесь
3rd Pl,разъезжа́ются
Past M,разъезжа́лся
Past F,разъезжа́лась
Past N,разъезжа́лось
Past PL,разъезжа́лись
Imp S,разъезжа́йся
Imp PL,разъезжа́йтесь
