Infinitive,распя́ть
Zaliznyak Class,14b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,распя́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распя́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распя́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,распя́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распну́
2nd Sing,распнёшь
3rd Sing,распнёт
1st Pl,распнём
2nd Pl,распнёте
3rd Pl,распну́т
Past M,распя́л
Past F,распя́ла
Past N,распя́ло
Past PL,распя́ли
Imp S,распни́
Imp PL,распни́те
