Infinitive,разнести́сь
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разнёсшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разнеся́сь
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,разнёсшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,разнесу́сь
2nd Sing,разнесёшься
3rd Sing,разнесётся
1st Pl,разнесёмся
2nd Pl,разнесётесь
3rd Pl,разнесу́тся
Past M,разнёсся
Past F,разнесла́сь
Past N,разнесло́сь
Past PL,разнесли́сь
Imp S,разнеси́сь
Imp PL,разнеси́тесь
