Infinitive,расписа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,расписа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распи́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расписа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,расписа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распишу́
2nd Sing,распи́шешь
3rd Sing,распи́шет
1st Pl,распи́шем
2nd Pl,распи́шете
3rd Pl,распи́шут
Past M,расписа́л
Past F,расписа́ла
Past N,расписа́ло
Past PL,расписа́ли
Imp S,распиши́
Imp PL,распиши́те
