Infinitive,развести́сь
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разве́дшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разведя́сь
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,разве́дшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,разведу́сь
2nd Sing,разведёшься
3rd Sing,разведётся
1st Pl,разведёмся
2nd Pl,разведётесь
3rd Pl,разведу́тся
Past M,развёлся
Past F,развела́сь
Past N,развело́сь
Past PL,развели́сь
Imp S,разведи́сь
Imp PL,разведи́тесь
