Infinitive,расплыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,расплыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,расплыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расплыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,расплыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расплыва́юсь
2nd Sing,расплыва́ешься
3rd Sing,расплыва́ется
1st Pl,расплыва́емся
2nd Pl,расплыва́етесь
3rd Pl,расплыва́ются
Past M,расплыва́лся
Past F,расплыва́лась
Past N,расплыва́лось
Past PL,расплыва́лись
Imp S,расплыва́йся
Imp PL,расплыва́йтесь
