Infinitive,развали́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,развали́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,развали́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,развалю́сь
2nd Sing,разва́лишься
3rd Sing,разва́лится
1st Pl,разва́лимся
2nd Pl,разва́литесь
3rd Pl,разва́лятся
Past M,развали́лся
Past F,развали́лась
Past N,развали́лось
Past PL,развали́лись
Imp S,развали́сь
Imp PL,развали́тесь
