Infinitive,растолка́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,растолка́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,расто́лканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,растолка́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,растолка́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,растолка́ю
2nd Sing,растолка́ешь
3rd Sing,растолка́ет
1st Pl,растолка́ем
2nd Pl,растолка́ете
3rd Pl,растолка́ют
Past M,растолка́л
Past F,растолка́ла
Past N,растолка́ло
Past PL,растолка́ли
Imp S,растолка́й
Imp PL,растолка́йте
