Infinitive,разгоре́ться
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разгоре́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разгоре́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разгорю́сь
2nd Sing,разгори́шься
3rd Sing,разгори́тся
1st Pl,разгори́мся
2nd Pl,разгори́тесь
3rd Pl,разгоря́тся
Past M,разгоре́лся
Past F,разгоре́лась
Past N,разгоре́лось
Past PL,разгоре́лись
Imp S,разгори́сь
Imp PL,разгори́тесь
