Infinitive,разочарова́ться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разочарова́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разочарова́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,разочару́юсь
2nd Sing,разочару́ешься
3rd Sing,разочару́ется
1st Pl,разочару́емся
2nd Pl,разочару́етесь
3rd Pl,разочару́ются
Past M,разочарова́лся
Past F,разочарова́лась
Past N,разочарова́лось
Past PL,разочарова́лись
Imp S,разочару́йся
Imp PL,разочару́йтесь
