Infinitive,рассы́пать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,рассы́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассы́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рассы́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,рассы́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,рассы́плю
2nd Sing,рассы́плешь
3rd Sing,рассы́плет
1st Pl,рассы́плем
2nd Pl,рассы́плете
3rd Pl,рассы́плют
Past M,рассы́пал
Past F,рассы́пала
Past N,рассы́пало
Past PL,рассы́пали
Imp S,рассы́пь
Imp PL,рассы́пьте
