Infinitive,раздува́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,раздува́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,раздува́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,раздува́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,раздува́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,раздува́юсь
2nd Sing,раздува́ешься
3rd Sing,раздува́ется
1st Pl,раздува́емся
2nd Pl,раздува́етесь
3rd Pl,раздува́ются
Past M,раздува́лся
Past F,раздува́лась
Past N,раздува́лось
Past PL,раздува́лись
Imp S,раздува́йся
Imp PL,раздува́йтесь
