Infinitive,разла́мывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разла́мывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разла́мывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разла́мываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разла́мывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,разла́мывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,разла́мывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,разла́мываю
2nd Sing,разла́мываешь
3rd Sing,разла́мывает
1st Pl,разла́мываем
2nd Pl,разла́мываете
3rd Pl,разла́мывают
Past M,разла́мывал
Past F,разла́мывала
Past N,разла́мывало
Past PL,разла́мывали
Imp S,разла́мывай
Imp PL,разла́мывайте
