Infinitive,распусти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,распусти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,распу́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,распусти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,распусти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,распущу́
2nd Sing,распу́стишь
3rd Sing,распу́стит
1st Pl,распу́стим
2nd Pl,распу́стите
3rd Pl,распу́стят
Past M,распусти́л
Past F,распусти́ла
Past N,распусти́ло
Past PL,распусти́ли
Imp S,распусти́
Imp PL,распусти́те
