Infinitive,разомле́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,разомле́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разомле́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,разомле́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,разомле́ю
2nd Sing,разомле́ешь
3rd Sing,разомле́ет
1st Pl,разомле́ем
2nd Pl,разомле́ете
3rd Pl,разомле́ют
Past M,разомле́л
Past F,разомле́ла
Past N,разомле́ло
Past PL,разомле́ли
Imp S,разомле́й
Imp PL,разомле́йте
