Infinitive,разли́ть
Zaliznyak Class,11*b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разли́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разли́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разли́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разли́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разолью́
2nd Sing,разольёшь
3rd Sing,разольёт
1st Pl,разольём
2nd Pl,разольёте
3rd Pl,разолью́т
Past M,разли́л
Past F,разлила́
Past N,разли́ло
Past PL,разли́ли
Imp S,разле́й
Imp PL,разле́йте
