Infinitive,расса́живаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,расса́живающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,расса́живавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,расса́живаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,расса́живавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,расса́живаюсь
2nd Sing,расса́живаешься
3rd Sing,расса́живается
1st Pl,расса́живаемся
2nd Pl,расса́живаетесь
3rd Pl,расса́живаются
Past M,расса́живался
Past F,расса́живалась
Past N,расса́живалось
Past PL,расса́живались
Imp S,расса́живайся
Imp PL,расса́живайтесь
