Infinitive,разже́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разжёгший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разожжённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разжёгши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,разожгу́
2nd Sing,разожжёшь
3rd Sing,разожжёт
1st Pl,разожжём
2nd Pl,разожжёте
3rd Pl,разожгу́т
Past M,разжёг
Past F,разожгла́
Past N,разожгло́
Past PL,разожгли́
Imp S,разожги́
Imp PL,разожги́те
