Infinitive,рассмея́ться
Zaliznyak Class,6b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,рассмея́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рассмея́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,рассмею́сь
2nd Sing,рассмеёшься
3rd Sing,рассмеётся
1st Pl,рассмеёмся
2nd Pl,рассмеётесь
3rd Pl,рассмею́тся
Past M,рассмея́лся
Past F,рассмея́лась
Past N,рассмея́лось
Past PL,рассмея́лись
Imp S,рассме́йся
Imp PL,рассме́йтесь
