Infinitive,разгоня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,разгоня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,разгоня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разгоня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,разгоня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разгоня́юсь
2nd Sing,разгоня́ешься
3rd Sing,разгоня́ется
1st Pl,разгоня́емся
2nd Pl,разгоня́етесь
3rd Pl,разгоня́ются
Past M,разгоня́лся
Past F,разгоня́лась
Past N,разгоня́лось
Past PL,разгоня́лись
Imp S,разгоня́йся
Imp PL,разгоня́йтесь
