Infinitive,разъясни́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,разъясни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,разъяснённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,разъясни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,разъясни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,разъясню́
2nd Sing,разъясни́шь
3rd Sing,разъясни́т
1st Pl,разъясни́м
2nd Pl,разъясни́те
3rd Pl,разъясня́т
Past M,разъясни́л
Past F,разъясни́ла
Past N,разъясни́ло
Past PL,разъясни́ли
Imp S,разъясни́
Imp PL,разъясни́те
